Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,"585,000",596,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"3,950,000",1,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"165,500",122,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"9,125,600","5,314",11,,La Romana,2020-11-25,58.15
house,USD,"535,000",256,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"260,000","1,400",4,Jarabacoa,La Vega,2020-11-25,58.15
house,USD,"1,750,000","1,000",,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"580,000",750,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"1,600,000","1,500",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"288,000",109,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"415,000",367,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"230,000",418,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,000,000","1,800",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"550,000",370,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,300,000","1,677",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"323,169",253,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"495,000",170,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"800,000","1,224",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"780,000",552,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"194,614",158,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",691,6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"390,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"155,000",135,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"252,500",185,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"18,500,000",588,6,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"386,500",277,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"295,000",235,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"2,500,000","2,100",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"126,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"112,400",260,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"249,044",500,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,500,000","2,392",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"199,744",1,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"127,000",92,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"6,800,000",264,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"6,800,000","1,380",7,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"390,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"2,350,000",756,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"439,000",433,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"170,000",190,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"575,000","1,500",5,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,"218,240",500,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"344,095",500,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"126,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"950,000","1,460",6,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"500,000",385,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"2,700,000","2,000",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"550,000",385,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"4,200,000",135,3,Don Juan 1,La Romana,2020-11-25,58.15
house,USD,"1,750,000",765,4,,La Romana,2020-11-25,58.15
house,USD,"282,440",500,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"7,400,000",1,3,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,"1,950,000","1,362",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"165,000",264,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"600,000",1,5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"575,000","1,011",3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"126,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"325,000",440,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"515,000",539,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"730,000",730,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"298,000",675,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"130,000",160,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1,"6,458",4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"2,200,000",1,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"540,000",678,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"201,030",192,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"450,000",326,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"495,000",557,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"200,000","3,000",2,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"126,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"201,030",192,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"450,000",698,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"455,000",325,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"480,000",326,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"420,000",551,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"375,000",408,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"350,000",440,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"201,030",192,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"201,030",192,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,600,000",580,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"500,000",1,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"3,690,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"425,000",251,2,Las Terrenas,Samaná,2020-11-25,58.15
house,USD,"10,000,000",1,6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"295,000",265,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"13,500,000",1,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"6,800,000","1,114",7,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"1,300,000",1,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"98,100",128,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"160,000",200,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"575,000",402,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"17,000,000",413,4,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"118,300",160,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"87,000",120,3,,La Romana,2020-11-25,58.15
house,DOP,"10,500,000",280,4,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,"11,100,000",417,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"890,000",635,5,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"113,190",151,2,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"9,300,000",226,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"675,000","1,100",5,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"500,000","1,100",3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"5,900,000","1,120",7,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"129,500",224,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"645,000",482,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
