Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,1300000.0,1975.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,199744.0,316.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,4575000.0,273.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,450000.0,230.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,110000.0,301.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,585000.0,596.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,3950000.0,359.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,165500.0,122.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,9125600.0,5314.0,11.0,,La Romana,2020-11-25,58.15
house,USD,535000.0,256.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,260000.0,1400.0,4.0,Jarabacoa,La Vega,2020-11-25,58.15
house,USD,1750000.0,1000.0,,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,580000.0,750.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,1600000.0,1500.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,288000.0,109.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,415000.0,367.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,230000.0,418.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1000000.0,1800.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,550000.0,370.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1300000.0,1677.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,323169.0,253.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,495000.0,170.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,800000.0,1224.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,780000.0,552.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,194614.0,158.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1600000.0,691.0,6.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,390000.0,413.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,155000.0,135.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,252500.0,185.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,18500000.0,588.0,6.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,386500.0,277.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,295000.0,235.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,2500000.0,2100.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,126000.0,160.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,112400.0,260.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,249044.0,500.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1500000.0,2392.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,199744.0,1242.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,127000.0,92.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,6800000.0,264.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,6800000.0,1380.0,7.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,390000.0,1068.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,2350000.0,756.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,439000.0,433.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,170000.0,190.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,575000.0,1500.0,5.0,Metro Country Club,San Pedro De Macorís,2020-11-25,58.15
house,USD,218240.0,500.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,344095.0,500.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,126000.0,160.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,950000.0,1460.0,6.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,500000.0,385.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,2700000.0,2000.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,550000.0,385.0,2.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,4200000.0,135.0,3.0,Don Juan 1,La Romana,2020-11-25,58.15
house,USD,1750000.0,765.0,4.0,,La Romana,2020-11-25,58.15
house,USD,282440.0,500.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,7400000.0,931.0,3.0,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,1950000.0,1362.0,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,165000.0,264.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,600000.0,637.5,5.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,575000.0,1011.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,126000.0,160.0,3.0,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,325000.0,440.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,515000.0,539.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,730000.0,730.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,298000.0,675.0,3.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,130000.0,160.0,3.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,1165000.0,6458.0,4.0,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,2200000.0,3568.0,5.0,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
